"GCAM_region_ID","year","value","scenario"
20,1971,97838.7267966682,"SSP1"
20,1972,100191.98161974,"SSP1"
20,1973,101891.856847454,"SSP1"
20,1974,103288.383632686,"SSP1"
20,1975,104516.932961988,"SSP1"
20,1976,105092.295647764,"SSP1"
20,1977,105486.989648067,"SSP1"
20,1978,107604.447796568,"SSP1"
20,1979,110028.274822449,"SSP1"
20,1980,112545.774700204,"SSP1"
20,1981,115187.745491812,"SSP1"
20,1982,116750.374388156,"SSP1"
20,1983,118418.753398594,"SSP1"
20,1984,120308.642752891,"SSP1"
20,1985,122262.109117585,"SSP1"
20,1986,124071.047000298,"SSP1"
20,1987,125563.901803043,"SSP1"
20,1988,127597.501846335,"SSP1"
20,1989,129633.698729263,"SSP1"
20,1990,132262.165251933,"SSP1"
20,1991,135368.53279542,"SSP1"
20,1992,137956.486764089,"SSP1"
20,1993,140879.376769703,"SSP1"
20,1994,143688.173117024,"SSP1"
20,1995,145306.153434232,"SSP1"
20,1996,145721.189076513,"SSP1"
20,1997,148499.700630311,"SSP1"
20,1998,151872.461516896,"SSP1"
20,1999,155597.718581723,"SSP1"
20,2000,159895.040764913,"SSP1"
20,2001,164906.634633915,"SSP1"
20,2002,169683.928632322,"SSP1"
20,2003,173893.176075463,"SSP1"
20,2004,178713.64991584,"SSP1"
20,2005,183727.490582917,"SSP1"
20,2006,188927.530835628,"SSP1"
20,2007,194154.087874111,"SSP1"
20,2008,198090.872791495,"SSP1"
20,2009,199296.534606238,"SSP1"
20,2010,199624.203212226,"SSP1"
20,2011,198790.305778391,"SSP1"
20,2012,194164.167102027,"SSP1"
20,2013,186806.656164027,"SSP1"
20,2014,179614.811055914,"SSP1"
20,2015,172625.107558132,"SSP1"
20,2016,166225.746314833,"SSP1"
20,2017,161607.832532549,"SSP1"
20,2018,158510.798311726,"SSP1"
20,2019,156595.892032789,"SSP1"
20,2020,155634.648632981,"SSP1"
20,2021,156235.061371902,"SSP1"
20,2022,159211.247015703,"SSP1"
20,2023,164894.329652421,"SSP1"
20,2024,174946.331461465,"SSP1"
20,2025,188791.980560546,"SSP1"
20,2026,206523.802787356,"SSP1"
20,2027,228405.485326621,"SSP1"
20,2028,253922.799745052,"SSP1"
20,2029,279903.909666256,"SSP1"
20,2030,306348.815090232,"SSP1"
20,2031,333257.51601698,"SSP1"
20,2032,360630.012446499,"SSP1"
20,2033,388466.304378791,"SSP1"
20,2034,415417.102339794,"SSP1"
20,2035,441482.406329508,"SSP1"
20,2036,466662.216347934,"SSP1"
20,2037,490956.53239507,"SSP1"
20,2038,514365.354470918,"SSP1"
20,2039,535785.405065284,"SSP1"
20,2040,555216.684178166,"SSP1"
20,2041,572659.191809566,"SSP1"
20,2042,588112.927959484,"SSP1"
20,2043,601577.892627918,"SSP1"
20,2044,612815.636873888,"SSP1"
20,2045,621826.160697391,"SSP1"
20,2046,628609.46409843,"SSP1"
20,2047,633165.547077004,"SSP1"
20,2048,635494.409633112,"SSP1"
20,2049,636408.463042839,"SSP1"
20,2050,636408.463042839,"SSP1"
20,2051,636408.463042839,"SSP1"
20,2052,636408.463042839,"SSP1"
20,2053,636408.463042839,"SSP1"
20,2054,636408.463042839,"SSP1"
20,2055,636408.463042839,"SSP1"
20,2056,636408.463042839,"SSP1"
20,2057,636408.463042839,"SSP1"
20,2058,636408.463042839,"SSP1"
20,2059,636408.463042839,"SSP1"
20,2060,636408.463042839,"SSP1"
20,2061,636408.463042839,"SSP1"
20,2062,636408.463042839,"SSP1"
20,2063,636408.463042839,"SSP1"
20,2064,636408.463042839,"SSP1"
20,2065,636408.463042839,"SSP1"
20,2066,636408.463042839,"SSP1"
20,2067,636408.463042839,"SSP1"
20,2068,636408.463042839,"SSP1"
20,2069,636408.463042839,"SSP1"
20,2070,636408.463042839,"SSP1"
20,2071,636408.463042839,"SSP1"
20,2072,636408.463042839,"SSP1"
20,2073,636408.463042839,"SSP1"
20,2074,636408.463042839,"SSP1"
20,2075,636408.463042839,"SSP1"
20,2076,636408.463042839,"SSP1"
20,2077,636408.463042839,"SSP1"
20,2078,636408.463042839,"SSP1"
20,2079,636408.463042839,"SSP1"
20,2080,636408.463042839,"SSP1"
20,2081,636408.463042839,"SSP1"
20,2082,636408.463042839,"SSP1"
20,2083,636408.463042839,"SSP1"
20,2084,636408.463042839,"SSP1"
20,2085,636408.463042839,"SSP1"
20,2086,636408.463042839,"SSP1"
20,2087,636408.463042839,"SSP1"
20,2088,636408.463042839,"SSP1"
20,2089,636408.463042839,"SSP1"
20,2090,636408.463042839,"SSP1"
20,2091,636408.463042839,"SSP1"
20,2092,636408.463042839,"SSP1"
20,2093,636408.463042839,"SSP1"
20,2094,636408.463042839,"SSP1"
20,2095,636408.463042839,"SSP1"
20,2096,636408.463042839,"SSP1"
20,2097,636408.463042839,"SSP1"
20,2098,636408.463042839,"SSP1"
20,2099,636408.463042839,"SSP1"
20,2100,636408.463042839,"SSP1"
20,1971,97838.7267966682,"SSP2"
20,1972,100191.98161974,"SSP2"
20,1973,101891.856847454,"SSP2"
20,1974,103288.383632686,"SSP2"
20,1975,104516.932961988,"SSP2"
20,1976,105092.295647764,"SSP2"
20,1977,105486.989648067,"SSP2"
20,1978,107604.447796568,"SSP2"
20,1979,110028.274822449,"SSP2"
20,1980,112545.774700204,"SSP2"
20,1981,115187.745491812,"SSP2"
20,1982,116750.374388156,"SSP2"
20,1983,118418.753398594,"SSP2"
20,1984,120308.642752891,"SSP2"
20,1985,122262.109117585,"SSP2"
20,1986,124071.047000298,"SSP2"
20,1987,125563.901803043,"SSP2"
20,1988,127597.501846335,"SSP2"
20,1989,129633.698729263,"SSP2"
20,1990,132262.165251933,"SSP2"
20,1991,135368.53279542,"SSP2"
20,1992,137956.486764089,"SSP2"
20,1993,140879.376769703,"SSP2"
20,1994,143688.173117024,"SSP2"
20,1995,145306.153434232,"SSP2"
20,1996,145721.189076513,"SSP2"
20,1997,148499.700630311,"SSP2"
20,1998,151872.461516896,"SSP2"
20,1999,155597.718581723,"SSP2"
20,2000,159895.040764913,"SSP2"
20,2001,164906.634633915,"SSP2"
20,2002,169683.928632322,"SSP2"
20,2003,173893.176075463,"SSP2"
20,2004,178713.64991584,"SSP2"
20,2005,183727.490582917,"SSP2"
20,2006,188927.530835628,"SSP2"
20,2007,194154.087874111,"SSP2"
20,2008,198090.872791495,"SSP2"
20,2009,199296.534606238,"SSP2"
20,2010,199624.203212226,"SSP2"
20,2011,198790.305778391,"SSP2"
20,2012,194164.167102027,"SSP2"
20,2013,186806.656164027,"SSP2"
20,2014,179617.849018289,"SSP2"
20,2015,172634.221445255,"SSP2"
20,2016,166243.97408908,"SSP2"
20,2017,161638.212156294,"SSP2"
20,2018,158556.367747344,"SSP2"
20,2019,156641.642916671,"SSP2"
20,2020,155665.57260152,"SSP2"
20,2021,156236.15006149,"SSP2"
20,2022,159167.492062732,"SSP2"
20,2023,164790.722693283,"SSP2"
20,2024,174607.497564102,"SSP2"
20,2025,188042.5447929,"SSP2"
20,2026,205188.390217367,"SSP2"
20,2027,226308.721022231,"SSP2"
20,2028,250889.308774203,"SSP2"
20,2029,275871.097561866,"SSP2"
20,2030,301254.08738522,"SSP2"
20,2031,327038.278244263,"SSP2"
20,2032,353223.670138997,"SSP2"
20,2033,379810.26306942,"SSP2"
20,2034,405791.06971281,"SSP2"
20,2035,431166.090069166,"SSP2"
20,2036,455935.324138489,"SSP2"
20,2037,480098.771920777,"SSP2"
20,2038,503656.433416032,"SSP2"
